Fragment,Count
N#COOC(O)(N=NN(N)O)N=C(O)O,1
[13*]C1(N=N)OC(O)(O)N=NN1O,1
N#CN=NC(O)(O)NOC(=N)ON(O)O,1
[13*]C1(N=N)N=NNO1,1
NN=NN(C(=O)O)C(O)(N=O)N=C(O)O,1
[5*]NC(N)=NOC(O)(O)N=NN=O,1
[13*]C1(N=O)OC(O)(NNN=N)O1,1
NC(O)=NC(O)(N=O)C(=NN=O)N(O)O,1
[3*]OC(O)(N=N)N=C(O)N=NOO,1
[3*]OC(O)(N[5*])NN,1
[5*]NC(O)(N=O)OC(=N)O,1
[5*]NC(N)(N=O)N=C(O)ON=NO,1
N=C(N=NOO)NC(O)(N=O)N=C(O)O,1
[3*]OC(O)(N=N)OC(=N)N,1
[13*]C1(N=NC(O)(O)O)ON=NO1,1
N=NC(O)(N=C(O)O)N=C(O)NON=O,1
[13*]C1(N=NN=O)ONC(N)(O)O1,1
[3*]OC(=N)OOC(O)(O)N=NN=N,1
NN(N=NC(O)(O)O)C1(N=O)NC(=O)O1,1
[5*]NC(O)(NN(O)N=O)ON=C=N,1
N#CN=NC(O)(NC(=N)O)ON(O)OO,1
[5*]NC(O)(NNC#N)ON(O)N=O,1
[5*]NC(O)(NN(N)N=O)ON=C=O,1
[1*]C(=O)N(N=NN)C(O)(O)N=O,1
[13*]C1(N=O)OC(N)(N=CN=N)O1,1
[3*]OC(N)(N=NOO)N=C(O)N=N,1
[1*]C(=O)N=NN(O)C(O)(O)C#N,1
[4*]C([4*])(O)C=NN=O,1
[5*]NC(O)O,1
[5*]NC(O)(N=NC=O)ON(O)N=O,1
N=C(O)N=NC(O)(ON=C=O)ON(N)O,1
[3*]OC(O)(N=NC(=O)O)ON=NN,1
[13*]C1(N=O)N=C=NN1,1
[1*]C(=O)N=NN(N)C(O)(O)C#N,1
[13*]C1(N=N)NC(O)(N=NOO)O1,1
[3*]OC(N)(N=NC(=N)O)ONN=O,1
[3*]OC(O)(N=NN=O)NOC(=N)N,1
[13*]C1(N=C(O)O)OC(N)(N=NN=O)O1,1
O=C(O)N=NC(O)(N=C(O)O)NN=NO,1
[13*]C1([13*])OC(N)(N=NN=O)O1,1
[3*]OC(N)(N=NN=N)ONC(=O)O,1
[13*]C1(N=O)ON1N=O,1
[13*]C1(N=N)OC(O)(N=NN=O)O1,1
[13*]C1(N=N)NC(=O)OC(N)(O)O1,1
[13*]C1(N=N)OC(=O)OC(N)(O)O1,1
NC1(O)N=C(O)NC(N=O)(N(O)N=O)O1,1
[13*]C1(O)OC([13*])(C#N)O1,1
NN(N=O)C1(N=O)NC(=O)NC(O)(O)O1,1
N=C(N)OC(=NN=NO)OC(O)(O)N=O,1
[1*]C(=O)N=C(O)NON=N,1
NN(N=O)C1(N=O)NC(N)(O)OC(=O)O1,1
N=NN(O)C1(N=N)NC(O)(O)OC(=O)O1,1
N=NN=NC1(C=O)OC(O)(O)N1N(O)O,1
O=NC=NC1(N=O)NC(O)(O)N1N(O)O,1
[4*]C([4*])(O)C(=O)N=N,1
[5*]NC(=NC(N)(N)N=O)OON=O,1
[5*]N1C(O)(O)OC1(N=N)NON=N,1
[5*]NC(=NON=O)OC(N)(N)N=O,1
[4*]C1(C#N)OC([13*])(O)O1,1
[3*]OC(=N)NC(O)(O)N=N,1
[13*]C1(N=N)N=NN1O,1
N#CC(O)(O)N=C(ONN=O)ON(N)O,1
[13*]C1(O)NC(C=NN=O)(N=O)O1,1
[1*]C(=O)NON=O,1
[13*]C1(N=NC#N)NN(OC(O)(O)O)N1,1
[1*]C(=O)N=C(O)NC(O)(O)N=O,1
[5*]NC(=NC(O)(O)N=O)OON=N,1
[1*]C(=O)N=NOO,1
[3*]ON(N)OC(=N)N=NOO,1
[13*]C1(O)OC(N=N)(NON=O)O1,1
[3*]ON(O)OC(=N)N=NN=O,1
[1*]C(=O)NN(O)NC(N)(O)N=O,1
NC(O)(N=O)NN(O)OC(O)=C=NN=O,1
[3*]ON(O)N=CN=O,1
N=C(NC(O)=NON=O)OC(N)(O)N=O,1
[13*]C1(O)OC(N=O)(N(O)N=N)O1,1
N=NC1(NON=O)OC(O)(N=C(N)O)O1,1
N=C(ON(O)N=C=NO)OC(N)(O)N=O,1
[13*]C1(N=N)OC(=N)NC(O)(O)O1,1
N#CN=NN(O)OC(O)OC(O)(O)N=N,1
[3*]OC(O)=NN(O)N=NOO,1
NN(C=NN=O)OC(O)=NC(O)(O)N=O,1
[13*]C1(N=O)N=C(O)NC(N)(N)O1,1
[13*]C1(N=N)NC(O)(O)NC(=O)O1,1
