SMILES,MW,HBA,HBD,LogP,lipinski_valid,Error,chemval,chem_violation
CC(O)C(=O)OC,104.047344116,3,1,-0.4598000000000002,True,False,True,
CC(=O)C(O)OC,104.047344116,3,1,-0.4598,True,False,False,Geminal diol/triol
C=C(O)C(O)OC,104.047344116,3,2,0.02289999999999992,True,False,False,"Geminal diol/triol, Enol"
OC(O)=C(O)CC,104.04734411599999,3,3,1.2395,True,False,False,"Geminal diol/triol, Enol"
OC(O)C(=O)CC,104.04734411599999,3,2,-0.7238,True,False,False,Geminal diol/triol
OC(O)C(O)=CC,104.04734411599999,3,3,-0.2411000000000001,True,False,False,"Geminal diol/triol, Enol"
OC(=O)C(O)CC,104.04734411599999,2,2,-0.15810000000000013,True,False,True,
OC(O)C(O)C=C,104.04734411599999,3,3,-1.1560000000000004,True,False,False,Geminal diol/triol
CC(O)=C(C)OO,104.047344116,3,2,1.2854,True,False,False,Enol
CC(O)C(=C)OO,104.047344116,3,2,0.37049999999999994,True,False,False,Enol
CC(=O)C(C)OO,104.047344116,3,1,0.45349999999999996,True,False,True,
C=C(O)C(C)OO,104.047344116,3,2,0.9361999999999999,True,False,False,Enol
OC(O)=C(C)CO,104.047344116,3,3,0.3262,True,False,False,"Geminal diol/triol, Enol"
OC(O)C(=C)CO,104.047344116,3,3,-1.1544,True,False,False,Geminal diol/triol
OC(O)C(C)=CO,104.047344116,3,3,-0.24110000000000015,True,False,False,"Geminal diol/triol, Enol"
OC(=O)C(C)CO,104.047344116,2,2,-0.3005999999999999,True,False,True,
OC(O)C(C)C=O,104.047344116,3,2,-0.8679000000000001,True,False,False,Geminal diol/triol
CC(C)=C(O)OO,104.047344116,3,2,1.2854,True,False,False,"Geminal diol/triol, Enol"
CC(C)C(=O)OO,104.047344116,3,1,0.6586000000000001,True,False,True,
CC(=C)C(O)OO,104.047344116,3,2,0.3705,True,False,False,Geminal diol/triol
CC(O)=C(O)CO,104.047344116,3,3,0.3262,True,False,False,Enol
CC(O)C(=O)CO,104.047344116,3,2,-1.0714000000000001,True,False,True,
CC(O)C(O)=CO,104.047344116,3,3,0.32459999999999994,True,False,False,Enol
CC(=O)C(O)CO,104.047344116,3,2,-1.0714000000000001,True,False,True,
C=C(O)C(O)CO,104.047344116,3,3,-0.5887,True,False,False,Enol
CC(O)C(O)C=O,104.047344116,3,2,-1.0730000000000002,True,False,True,
CC1(OC)OCO1,104.047344116,3,0,0.31079999999999997,True,False,False,Geminal diol/triol
OC1(OC)OCC1,104.04734411599999,3,1,-0.30079999999999996,True,False,False,Geminal diol/triol
OC1(CC)OCO1,104.047344116,3,1,0.04679999999999995,True,False,False,Geminal diol/triol
CC1(OO)OCC1,104.047344116,3,1,0.6125,True,False,False,Geminal diol/triol
CC1(CO)OCO1,104.047344116,3,1,-0.30079999999999996,True,False,False,Geminal diol/triol
OC1(OO)CCC1,104.04734411599999,3,2,0.3485,True,False,False,Geminal diol/triol
OC1(CO)OCC1,104.047344116,3,2,-0.9123999999999999,True,False,False,Geminal diol/triol
CC1(OC)OOC1,104.047344116,3,0,0.31079999999999997,True,False,False,Geminal diol/triol
CC1(CC)OOO1,104.047344116,3,0,1.006,True,False,False,Geminal diol/triol
OC1(OC)COC1,104.047344116,3,1,-0.6484000000000001,True,False,False,Geminal diol/triol
OC1(CC)OOC1,104.047344116,3,1,0.04679999999999995,True,False,False,Geminal diol/triol
CC1(OO)COC1,104.047344116,3,1,0.26489999999999997,True,False,True,
CC1(CO)OOC1,104.047344116,3,1,-0.30079999999999996,True,False,True,
OC1(CO)COC1,104.047344116,3,2,-1.26,True,False,True,
OCOC1(O)CC1,104.04734411599999,3,2,-0.5648000000000002,True,False,False,Geminal diol/triol
CCOC1(C)OO1,104.047344116,3,0,0.6584,True,False,False,Geminal diol/triol
OCCC1(C)OO1,104.047344116,3,1,0.04679999999999995,True,False,False,Geminal diol/triol
OCOC1(C)OC1,104.047344116,3,1,-0.30079999999999996,True,False,False,Geminal diol/triol
CCCC1(O)OO1,104.047344116,3,1,0.3943999999999999,True,False,False,Geminal diol/triol
CCOC1(O)OC1,104.047344116,3,1,-0.30079999999999996,True,False,False,Geminal diol/triol
OCCC1(O)OC1,104.047344116,3,2,-0.9124000000000001,True,False,False,Geminal diol/triol
OOOC1(C)CC1,104.04734411599999,3,1,0.9601,True,False,True,
COOC1(O)CC1,104.04734411599999,3,1,0.04680000000000001,True,False,False,Geminal diol/triol
OOCC1(O)CC1,104.04734411599999,3,2,0.0008999999999999009,True,False,True,
COCC1(C)OO1,104.047344116,3,0,0.3108000000000001,True,False,False,Geminal diol/triol
COOC1(C)OC1,104.047344116,3,0,0.31079999999999997,True,False,False,Geminal diol/triol
OOCC1(C)OC1,104.047344116,3,1,0.2648999999999999,True,False,True,
COCC1(O)OC1,104.047344116,3,1,-0.6483999999999999,True,False,False,Geminal diol/triol
OC1C(OC)(C)O1,104.047344116,3,1,-0.3024,True,False,False,Geminal diol/triol
CC1C(OC)(O)O1,104.047344116,3,1,-0.30240000000000006,True,False,False,Geminal diol/triol
OC1C(OC)(O)C1,104.047344116,3,2,-0.9140000000000001,True,False,False,Geminal diol/triol
OC1C(CC)(O)O1,104.047344116,3,2,-0.5664,True,False,False,Geminal diol/triol
CC1C(OO)(C)O1,104.047344116,3,1,0.6109,True,False,False,Geminal diol/triol
OC1C(OO)(C)C1,104.047344116,3,2,-0.0006999999999999229,True,False,True,
OC1C(CO)(C)O1,104.047344116,3,2,-0.9140000000000001,True,False,False,Geminal diol/triol
CC1C(OO)(O)C1,104.047344116,3,2,0.20440000000000003,True,False,False,Geminal diol/triol
CC1C(CO)(O)O1,104.047344116,3,2,-0.9140000000000001,True,False,False,Geminal diol/triol
OC1C(CO)(O)C1,104.047344116,3,3,-1.5256,True,False,True,
OC(O)C1(O)CC1,104.04734411599999,3,3,-1.1780000000000004,True,False,False,Geminal diol/triol
CC(O)C1(C)OO1,104.047344116,3,1,0.04519999999999996,True,False,False,Geminal diol/triol
OC(O)C1(C)OC1,104.047344116,3,2,-0.9140000000000001,True,False,False,Geminal diol/triol
CC(C)C1(O)OO1,104.047344116,3,1,0.2503,True,False,False,Geminal diol/triol
CC(O)C1(O)OC1,104.047344116,3,2,-0.9140000000000001,True,False,False,Geminal diol/triol
OC(C1CC1)(O)O,104.047344116,3,3,-0.9729000000000001,True,False,False,Geminal diol/triol
CC(C1OC1)(O)O,104.047344116,3,2,-0.9140000000000001,True,False,False,Geminal diol/triol
CC(C1OO1)(O)C,104.047344116,3,1,0.04519999999999996,True,False,False,Geminal diol/triol
OC1OC(O)CC1,104.04734411599999,3,2,-0.5664,True,False,False,Geminal diol/triol
CC1OC(C)OO1,104.047344116,3,0,0.6567999999999999,True,False,False,Geminal diol/triol
OC1OC(C)OC1,104.047344116,3,1,-0.3024,True,False,False,Geminal diol/triol
CC1CC(O)OO1,104.047344116,3,1,0.04519999999999996,True,False,False,Geminal diol/triol
CC1OC(O)OC1,104.047344116,3,1,-0.3024,True,False,False,Geminal diol/triol
OC1CC(O)OC1,104.047344116,3,2,-0.9140000000000001,True,False,False,Geminal diol/triol
CC1OC(OC)O1,104.047344116,3,0,0.3091999999999999,True,False,False,Geminal diol/triol
OC1OC(OC)C1,104.04734411599999,3,1,-0.3024,True,False,False,Geminal diol/triol
OC1OC(CC)O1,104.047344116,3,1,0.04519999999999991,True,False,False,Geminal diol/triol
CC1OC(OO)C1,104.047344116,3,1,0.6109,True,False,False,Geminal diol/triol
CC1OC(CO)O1,104.047344116,3,1,-0.30240000000000006,True,False,False,Geminal diol/triol
OC1CC(OO)C1,104.047344116,3,2,-0.0006999999999999784,True,False,True,
OC1OC(CO)C1,104.047344116,3,2,-0.9140000000000001,True,False,False,Geminal diol/triol
OC(O)OC1CC1,104.04734411599999,3,2,-0.5664000000000002,True,False,False,Geminal diol/triol
CC(C)OC1OO1,104.047344116,3,0,0.6567999999999999,True,False,False,Geminal diol/triol
CC(O)CC1OO1,104.047344116,3,1,0.04519999999999996,True,False,False,Geminal diol/triol
CC(O)OC1OC1,104.047344116,3,1,-0.3024,True,False,False,Geminal diol/triol
OC(O)CC1OC1,104.047344116,3,2,-0.9140000000000001,True,False,False,Geminal diol/triol
CC1OCOCO1,104.047344116,3,0,0.31079999999999997,True,False,False,Geminal diol/triol
OC1OCOCC1,104.04734411599999,3,1,-0.30079999999999996,True,False,False,Geminal diol/triol
OC1OCCCO1,104.047344116,3,1,-0.30079999999999996,True,False,False,Geminal diol/triol
CC1COOCO1,104.047344116,3,0,0.31079999999999997,True,False,False,Geminal diol/triol
CC1OOOCC1,104.047344116,3,0,0.6584,True,False,True,
CC1OOCCO1,104.047344116,3,0,0.31079999999999997,True,False,False,Geminal diol/triol
OC1COOCC1,104.047344116,3,1,-0.30079999999999996,True,False,True,
OC1COCCO1,104.047344116,3,1,-0.6484000000000001,True,False,False,Geminal diol/triol
OC1OOCCC1,104.04734411599999,3,1,0.04679999999999995,True,False,False,Geminal diol/triol
CC1COOOC1,104.047344116,3,0,0.5159,True,False,True,
CC1OOCOC1,104.047344116,3,0,0.31079999999999997,True,False,False,Geminal diol/triol
OC1COCOC1,104.047344116,3,1,-0.6484000000000001,True,False,False,Geminal diol/triol
CC1C(O)OCO1,104.047344116,3,1,-0.3024,True,False,False,Geminal diol/triol
OC1C(O)OCC1,104.047344116,3,2,-0.9140000000000001,True,False,False,Geminal diol/triol
CC1C(C)OOO1,104.047344116,3,0,0.6567999999999999,True,False,True,
