SMILES,MW,HBA,HBD,LogP,Valid,Error
O=C=NN1NC(N(N=O)C(N1)(O)O)(O)O,222.034881912,11,6,-4.2627999999999995,False,False
O=NON1OC(N=C=NC(O1)(N)N)(O)O,222.034881912,12,4,-2.9233000000000002,True,False
O=NOC1=NC(N1C(N=NO)(O)N)(O)O,222.034881912,11,5,-2.6444,True,False
ON=NN1OC(N1C(OC#N)(O)N)(O)O,222.034881912,10,5,-3.13712,True,False
O=NN(C=1OC(ON=O)(O)N1)C(N)(O)N,222.034881912,11,4,-2.8214000000000006,True,False
ON=NC1(O)NC(N(N=N1)C(=O)O)(O)O,222.034881912,9,6,-2.0223,True,False
O=NN1C(OC(NN=O)(O)OC1=N)(O)N,222.034881912,10,5,-2.6117300000000006,True,False
O=NN1C(OC(NN=O)(O)N=C1O)(O)N,222.034881912,9,5,-2.6491,True,False
O=NN1C(OC(N=NO)(O)N=C1O)(O)N,222.034881912,9,5,-2.0787000000000004,True,False
N=NN(C(=O)O)C1(O)OC(N=NO)(O)N1,222.034881912,9,6,-1.4192300000000002,True,False
N=NN(N(O)O)C1(O)OC(OC#N)(O)N1,222.034881912,11,6,-2.4455500000000003,False,False
N=NOC1(N)OC(ON=NC(O)(O)O)=N1,222.034881912,12,5,-2.12283,True,False
N=NNC1(N)OC(N=NOC(=O)O1)(O)O,222.034881912,11,5,-1.76153,True,False
ON=NC1(O)OC(N=NOC(=O)O1)(N)N,222.034881912,11,4,-1.4893,True,False
N=NOC1(O)OC(N=NN=C(N)O1)(O)O,222.034881912,12,5,-2.12283,True,False
N=C=NC1(O)OC(ON=NN(O)N1)(O)O,222.034881912,12,6,-2.53663,False,False
O=NOC1(O)NC(N=NOC(=O)N)(O)N1,222.034881912,11,5,-2.4531,True,False
O=NN1C(N(N=O)C(N)(O)O)(N)OC1=O,222.034881912,10,4,-2.7720000000000002,True,False
O=NN1C(N(N=O)C(N)(O)O)(O)N=C1O,222.034881912,9,5,-2.961,True,False
O=NN(C(O)(O)O)C1(N)NC(=O)N=NO1,222.034881912,9,5,-2.7649999999999997,True,False
O=NN1C(ON=NC(O)(O)O)(N)OC1=N,222.034881912,11,5,-2.5232300000000003,True,False
N=NN1C(NN=NC(O)(O)O)(O)OC1=O,222.034881912,10,6,-2.4668299999999994,True,False
N#CON(O)OC1(O)N=NN1C(N)(O)O,222.034881912,12,5,-3.13712,True,False
O=C=NN1NC(ON=NC(O)(O)O)(O)N1,222.034881912,12,6,-3.8624,False,False
O=NN1C(N=NN=C(O)O)(N)OC1(O)O,222.034881912,8,5,-1.9949,True,False
